A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,Credit
2,349,10.5,2,1,14,8,6.5,1,0,0,0,0,0,0,0.86,64.0,2,0.45,good
2,324,7.04,2,1,10,8,14.0,1,1,6,1,0,96,1332,0.87,25.0,0,0.63,good
1,97,12.5,2,1,4,8,1.0,0,0,0,1,0,34,1062,0.41,17.0,2,0.64,bad
2,113,2.71,3,3,3,8,5.25,1,1,1,0,0,47,0,0.79,43.0,0,0.52,good
2,349,3.0,3,3,7,1,7.0,0,0,0,0,0,0,1,0.21,65.0,1,0.29,bad
1,89,1.04,3,3,6,3,0.5,1,1,3,0,0,34,147,0.24,36.0,2,0.7,bad
1,3,0.585,2,1,2,4,1.5,1,1,2,0,0,1,0,0.01,55.0,0,0.93,good
2,76,11.5,2,1,7,8,3.5,1,1,9,0,0,144,742,0.13,21.0,2,0.66,good
2,16,22.0,1,2,6,7,0.0,0,0,0,1,1,125,100000,0.15,48.0,0,0.88,good
2,43,8.17,2,1,1,8,1.96,1,1,14,0,0,147,158,0.72,22.0,2,0.81,good
2,287,0.205,3,3,9,8,0.25,1,1,11,0,0,103,2732,0.29,76.0,1,0.05,good
2,207,2.125,3,3,13,8,0.085,1,1,1,0,0,135,1187,0.12,27.0,1,0.25,good
2,253,5.04,2,1,11,4,12.75,1,0,0,1,0,163,0,0.66,76.0,2,0.84,good
2,234,5.0,2,1,6,3,0.0,0,1,2,0,0,28,1,0.32,2.0,2,0.07,bad
2,25,1.21,3,3,5,2,0.0,0,0,0,0,0,1,0,0.09,31.0,0,0.41,bad
1,306,15.0,2,1,2,8,5.5,1,1,14,0,0,0,2200,0.9,1.0,1,0.54,good
1,42,1.25,2,1,2,8,0.0,0,0,0,0,0,0,0,0.52,8.0,0,0.77,bad
2,234,13.915,2,1,13,8,8.625,1,1,6,1,0,152,0,0.54,9.0,1,0.15,good
2,71,2.54,3,3,2,4,2.585,1,0,0,0,0,0,0,0.41,50.0,0,0.66,good
1,94,12.33,2,1,3,4,3.5,1,1,6,0,0,111,458,0.24,20.0,0,0.8,good
2,222,0.705,2,1,2,8,0.375,0,1,2,0,0,54,500,0.87,88.0,2,0.7,bad
2,186,4.5,2,1,1,8,1.0,1,0,0,1,0,61,0,0.99,73.0,1,0.18,bad
2,78,4.0,2,1,2,1,0.25,1,0,0,1,0,23,0,0.12,35.0,0,0.32,good
2,38,0.585,2,1,6,3,0.0,0,1,3,0,0,93,769,0.29,89.0,0,0.27,bad
2,284,25.085,2,1,13,8,1.75,1,1,3,0,0,8,14,0.97,8.0,0,0.77,good
1,183,0.375,2,1,3,8,0.375,0,0,0,0,0,80,44,0.34,5.0,2,0.23,good
2,336,0.54,2,1,2,8,0.585,1,1,3,1,0,34,0,0.0,99.0,2,0.74,bad
2,170,14.0,3,3,6,3,0.0,0,1,2,0,0,23,1,0.51,68.0,0,0.72,bad
2,311,9.415,2,1,6,3,14.415,1,1,11,1,0,79,300,0.24,27.0,0,0.91,good
1,82,0.83,2,1,11,8,0.415,0,1,1,1,0,40,11,0.41,43.0,1,0.44,bad
2,42,0.25,2,1,11,8,0.125,0,0,0,0,0,40,0,0.39,87.0,1,0.39,bad
2,259,0.375,3,3,2,8,0.375,1,1,8,1,0,80,162,0.78,15.0,1,0.55,good
2,275,5.835,2,1,13,8,5.5,0,0,0,0,0,129,150,0.11,33.0,1,0.59,bad
1,244,6.5,2,1,11,8,0.5,1,1,3,1,0,18,0,0.22,8.0,1,0.89,good
2,34,0.0,3,3,10,1,0.0,0,0,0,1,2,136,1,0.24,56.0,0,0.02,good
2,90,12.5,2,1,13,8,0.875,1,0,0,1,0,67,0,0.3,51.0,1,0.77,bad
1,344,0.0,0,0,0,0,0.0,0,0,0,0,1,170,0,0.88,16.0,1,0.58,good
1,245,1.0,2,1,7,1,2.25,1,0,0,1,0,0,300,0.26,95.0,0,0.57,good
1,294,12.54,2,1,1,8,2.29,1,1,3,1,0,22,0,0.78,29.0,2,0.51,good
2,257,4.625,2,1,11,8,4.58,1,0,0,0,2,0,0,0.35,79.0,2,0.26,good
1,349,3.5,2,1,4,8,3.0,1,0,0,1,0,80,0,0.23,62.0,2,0.59,bad
1,46,10.5,3,3,14,4,0.0,0,0,0,1,0,21,32,0.94,36.0,1,0.74,bad
1,323,2.0,2,1,6,3,6.5,0,1,1,0,0,0,10,0.07,2.0,2,0.67,bad
2,261,25.21,2,1,11,4,0.21,1,1,1,0,0,158,90,0.08,24.0,1,0.81,bad
2,20,0.205,2,1,1,8,0.04,0,0,0,0,0,74,750,0.44,16.0,1,0.85,bad
2,125,1.5,2,1,13,8,2.0,1,1,11,1,0,121,35,0.07,4.0,2,0.46,good
2,249,0.96,2,1,14,8,2.5,1,0,0,0,0,137,600,0.84,12.0,1,0.28,good
2,248,1.75,2,1,9,8,0.21,1,0,0,0,0,23,0,0.79,20.0,1,0.59,bad
1,30,7.5,2,1,11,8,2.71,1,1,5,0,0,170,26726,0.28,18.0,2,0.53,good
1,321,0.335,2,1,7,1,1.0,1,0,0,1,0,63,2197,0.62,14.0,0,0.84,bad
2,292,19.0,2,1,6,3,0.0,1,1,1,0,0,166,0,0.27,27.0,2,0.73,bad
2,230,9.5,2,1,10,8,6.5,1,1,14,0,0,61,4607,0.63,9.0,1,0.22,good
1,239,7.54,3,3,11,4,8.0,1,1,14,0,0,0,2300,0.13,48.0,0,0.82,good
2,34,4.0,3,3,7,8,1.0,0,0,0,1,0,96,1000,0.69,61.0,2,0.83,bad
0,269,1.0,2,1,11,8,0.125,0,0,0,1,0,68,0,0.34,41.0,2,0.63,bad
2,198,25.125,2,1,14,4,1.625,1,1,1,1,0,138,500,0.88,18.0,2,0.47,good
2,158,3.085,2,1,2,8,2.5,0,1,2,1,0,23,41,0.52,60.0,0,0.38,bad
0,42,0.125,2,1,11,8,1.0,0,1,1,0,0,61,768,0.74,73.0,1,0.98,good
1,98,2.085,2,1,2,4,2.75,1,0,0,1,0,96,1,0.66,98.0,0,0.6,bad
2,218,7.0,2,1,11,4,11.5,1,1,7,1,0,80,5,0.06,11.0,0,0.59,bad
2,260,2.25,2,1,7,1,0.75,1,0,0,0,0,145,0,0.65,95.0,1,0.27,bad
2,15,6.5,2,1,7,8,0.125,0,0,0,0,0,147,100,0.82,69.0,1,0.74,bad
2,197,3.375,2,1,2,4,8.29,0,0,0,1,0,0,0,0.42,41.0,1,0.52,bad
1,48,1.835,2,1,11,8,2.085,1,1,5,0,0,51,2503,0.12,65.0,0,0.97,good
2,130,5.0,2,1,13,8,11.0,1,0,0,1,0,152,0,0.68,17.0,2,0.29,good
2,296,0.585,2,1,6,3,0.0,0,0,0,0,0,18,0,0.72,20.0,2,0.58,bad
1,10,1.25,2,1,11,8,0.25,0,1,1,0,0,3,98,0.59,14.0,2,0.89,bad
2,197,2.5,2,1,7,8,1.0,0,0,0,1,0,46,0,0.93,40.0,0,0.49,bad
2,72,11.0,2,1,11,8,2.5,1,1,7,1,0,1,809,0.46,62.0,1,0.16,good
1,169,1.46,2,1,13,8,1.085,1,1,16,0,0,8,2079,0.19,50.0,2,0.13,good
2,85,0.875,2,1,10,8,0.085,0,1,4,0,0,65,1950,0.65,81.0,0,0.82,bad
2,51,4.79,3,3,13,8,2.25,1,1,1,1,0,159,300,0.36,78.0,0,0.15,good
2,136,0.375,2,1,2,8,0.29,0,0,0,0,0,51,140,0.12,23.0,0,0.65,bad
2,77,0.0,0,0,0,0,0.0,0,0,0,0,1,170,0,0.79,59.0,0,0.43,good
1,276,0.75,2,1,11,4,2.75,1,1,1,0,0,89,892,0.81,29.0,1,0.66,good
2,76,0.0,2,1,9,8,1.0,0,1,11,0,2,0,0,0.15,25.0,0,0.65,bad
2,37,0.29,2,1,9,8,0.29,0,0,0,0,0,74,364,0.45,9.0,0,0.16,bad
1,75,11.75,2,1,14,4,0.5,1,1,2,1,0,80,551,0.92,51.0,0,0.46,good
2,34,9.5,2,1,13,8,1.5,1,0,0,0,0,8,2206,0.49,34.0,2,0.69,good
2,264,11.0,3,3,4,8,1.5,1,0,0,0,2,0,0,0.38,1.0,1,0.29,bad
2,155,1.585,2,1,4,8,0.585,0,0,0,1,2,0,0,0.25,64.0,0,0.96,bad
2,322,8.5,2,1,5,4,7.0,1,1,3,0,0,0,0,0.09,29.0,1,0.22,good
2,186,5.085,3,3,7,1,1.085,0,0,0,1,0,131,0,0.14,85.0,2,0.99,bad
2,21,0.165,2,1,11,6,0.21,0,0,0,0,0,40,40,0.07,76.0,0,0.62,good
2,190,4.25,2,1,7,1,3.25,1,1,2,0,0,71,610,0.13,60.0,2,0.42,good
2,71,0.165,2,1,2,5,2.25,0,0,0,1,2,0,0,0.14,16.0,2,0.92,good
2,17,10.0,2,1,13,4,0.165,0,1,1,0,0,8,1,0.29,89.0,2,0.23,bad
2,142,1.415,2,1,13,4,0.75,1,1,1,0,0,61,100,0.63,92.0,0,0.43,good
2,56,0.75,3,3,12,6,0.75,0,0,0,1,0,13,2,0.13,9.0,0,0.32,bad
1,263,6.665,2,1,11,8,7.375,1,1,3,1,0,0,0,0.7,31.0,0,0.2,good
2,179,1.0,2,1,14,8,0.75,1,1,7,1,0,90,4071,0.82,39.0,0,0.3,good
2,69,0.125,3,3,9,8,0.125,0,0,0,0,0,40,70,0.28,40.0,1,0.09,bad
1,119,0.29,2,1,10,4,0.125,0,1,1,1,0,70,108,0.18,32.0,0,0.05,bad
2,57,11.5,2,1,7,8,0.5,1,0,0,1,0,1,68,0.03,59.0,1,0.04,bad
1,60,1.75,3,3,8,5,0.0,0,0,0,0,0,23,0,0.13,9.0,1,0.43,bad
1,133,3.54,2,1,7,1,0.5,1,0,0,1,0,30,0,0.14,72.0,0,0.96,bad
2,165,2.5,2,1,1,8,7.5,1,0,0,1,0,142,0,0.45,9.0,2,0.0,bad
1,140,0.46,2,1,9,8,0.54,1,1,4,0,0,103,500,0.64,77.0,2,0.81,good
2,125,1.0,3,3,4,4,3.0,0,0,0,0,0,32,537,0.68,3.0,0,0.38,bad
1,349,1.5,2,1,6,3,0.0,0,1,2,1,0,40,105,0.25,29.0,1,0.06,bad
2,31,0.415,3,3,2,8,0.165,0,1,1,0,0,40,1,0.21,12.0,2,0.89,bad
2,67,11.0,2,1,13,8,2.0,1,1,1,0,0,159,278,0.41,96.0,0,0.2,good
2,175,2.5,2,1,3,4,2.75,1,1,6,0,0,23,2072,0.25,84.0,1,0.68,good
2,53,0.875,3,3,2,4,0.25,0,0,0,0,0,74,204,0.0,25.0,2,0.26,bad
1,267,4.585,2,1,9,4,1.0,0,0,0,1,2,61,0,0.36,73.0,0,0.28,bad
1,228,4.0,2,1,2,8,3.0,0,0,0,0,0,131,0,0.24,87.0,1,0.52,bad
1,159,3.75,2,1,3,4,0.625,1,1,9,1,0,35,0,0.86,5.0,2,0.95,good
2,297,10.0,2,1,7,1,0.0,1,1,11,0,0,0,1249,0.75,32.0,0,0.78,good
2,268,1.5,2,1,2,8,2.5,1,0,0,1,0,15,0,0.58,99.0,1,0.92,bad
2,314,11.5,2,1,6,3,5.0,1,1,5,0,0,0,8851,0.99,6.0,0,0.06,good
1,305,7.0,2,1,1,4,3.0,0,0,0,0,0,0,0,1.0,97.0,2,0.34,bad
2,236,6.21,2,1,11,8,0.04,1,1,1,0,0,40,300,0.48,56.0,2,0.39,good
2,182,0.25,2,1,7,1,4.0,0,0,0,1,2,116,0,0.79,15.0,2,0.51,bad
2,212,0.125,3,3,2,8,1.5,0,0,0,1,0,58,113,0.26,21.0,0,0.09,good
2,23,2.46,2,1,2,6,0.96,0,1,2,1,0,23,587,0.56,65.0,1,0.64,bad
2,172,2.165,3,3,9,3,0.0,0,0,0,0,0,8,0,0.86,9.0,0,0.42,bad
2,261,3.0,2,1,11,4,6.0,1,1,11,0,0,159,0,0.28,82.0,2,0.26,good
1,96,2.875,2,1,14,4,0.875,1,0,0,0,0,96,0,0.54,71.0,1,0.21,good
1,94,0.875,2,1,14,4,1.04,1,0,0,1,0,23,5860,0.91,37.0,0,0.53,good
2,72,11.5,2,1,7,8,0.415,0,0,0,0,0,0,0,0.96,90.0,0,0.42,bad
2,144,1.25,3,3,9,8,0.25,0,0,0,0,0,53,0,0.09,99.0,2,0.74,bad
1,45,10.0,2,1,2,4,1.0,1,1,4,0,0,135,1465,0.18,85.0,0,0.87,good
1,149,5.5,2,1,9,8,5.5,0,0,0,1,2,1,0,0.26,55.0,1,0.17,bad
1,108,2.0,2,1,8,5,0.0,0,0,0,1,0,72,1,0.9,65.0,1,0.2,bad
1,92,4.5,2,1,13,8,1.0,0,0,0,1,0,96,6,0.62,76.0,2,0.09,bad
1,99,1.125,2,1,11,8,1.29,1,1,2,0,0,40,0,0.73,25.0,1,0.19,bad
2,41,0.0,2,1,4,8,0.5,0,0,0,0,0,17,0,0.33,45.0,2,0.97,bad
2,12,0.085,3,3,2,8,0.04,0,0,0,0,0,15,722,0.38,32.0,0,0.35,bad
2,29,5.0,2,1,11,8,0.375,1,1,2,0,0,0,38,0.6,53.0,0,0.84,bad
2,290,2.29,2,1,6,3,0.29,0,0,0,0,0,40,3,0.31,26.0,1,0.14,bad
2,240,3.29,2,1,10,8,3.5,0,0,0,1,2,111,0,0.87,49.0,0,0.18,bad
2,300,3.0,3,3,6,3,1.5,0,0,0,0,0,34,4,0.1,13.0,0,0.89,bad
2,347,22.29,2,1,5,9,12.75,1,1,1,1,0,0,109,0.71,76.0,2,0.25,good
2,246,5.0,2,1,11,4,5.0,1,1,6,1,0,130,0,0.51,73.0,2,0.48,good
2,236,5.0,2,1,7,1,0.21,0,0,0,0,0,143,0,0.03,94.0,1,0.25,bad
2,80,1.0,2,1,2,8,0.5,0,0,0,1,2,74,0,0.05,9.0,0,0.43,bad
2,9,4.085,2,1,7,4,0.415,0,0,0,1,0,8,0,0.17,79.0,1,0.29,bad
2,214,6.5,2,1,10,4,4.25,1,1,12,1,0,165,0,0.25,84.0,2,0.58,good
2,46,0.0,0,0,0,0,0.0,0,0,0,0,1,170,0,0.93,96.0,2,0.46,bad
1,128,0.375,2,1,11,8,0.585,1,1,4,0,0,159,0,0.75,62.0,2,0.34,good
2,305,6.5,2,1,9,8,6.29,1,1,15,0,0,0,11202,0.5,26.0,2,0.29,good
1,325,10.0,2,1,11,8,4.0,1,1,14,0,0,0,1602,0.53,86.0,1,0.48,good
2,179,3.04,3,3,2,4,2.04,1,1,1,1,0,34,18027,0.25,94.0,0,0.67,good
2,53,0.0,2,1,2,8,0.5,0,0,0,1,2,0,0,0.79,17.0,2,0.53,bad
2,105,0.875,2,1,9,8,0.375,0,1,2,1,0,31,3,0.54,59.0,1,0.5,bad
2,74,3.165,3,3,2,8,0.165,0,0,0,0,0,23,1058,0.26,30.0,1,0.32,bad
2,136,15.0,2,1,2,4,5.335,1,1,11,0,0,0,2283,0.16,80.0,1,0.58,good
2,201,0.75,2,1,9,8,1.5,0,0,0,1,0,57,0,0.82,43.0,1,0.19,bad
1,20,0.54,2,1,2,8,1.75,0,1,1,1,0,159,5,0.69,48.0,2,0.42,bad
2,142,0.75,3,3,2,8,0.04,0,0,0,0,0,61,0,0.51,96.0,2,0.19,bad
1,120,1.665,2,1,6,3,0.0,0,0,0,0,0,90,1,0.32,44.0,1,0.9,bad
2,183,2.165,2,1,2,8,1.5,0,0,0,0,1,8,0,0.75,90.0,1,0.1,bad
2,108,12.5,3,3,9,4,1.25,0,0,0,1,0,0,17,0.9,82.0,2,0.56,bad
2,47,2.415,2,1,2,8,2.0,1,1,11,1,0,40,3000,0.61,40.0,2,0.64,good
1,283,1.335,2,1,7,7,0.335,0,0,0,0,0,0,120,0.75,86.0,0,0.18,bad
2,233,4.25,2,1,2,1,6.5,1,1,16,0,0,7,1210,0.83,21.0,1,0.7,good
1,52,5.0,3,3,6,3,0.0,0,0,0,0,0,0,0,0.8,39.0,1,0.61,bad
1,73,2.29,2,1,11,4,2.29,1,1,7,1,0,15,2384,0.94,78.0,2,0.01,good
2,12,3.29,2,1,7,8,0.335,0,0,0,1,0,15,2,0.78,96.0,0,0.19,bad
2,0,4.0,3,3,13,8,1.75,1,1,2,1,0,8,1000,0.7,75.0,1,0.08,good
2,182,2.75,2,1,10,8,4.25,1,1,6,0,0,43,0,0.57,56.0,2,0.89,good
1,164,3.0,3,3,8,5,0.0,0,0,0,0,0,23,20,0.9,13.0,2,0.8,bad
2,216,1.75,3,3,2,1,0.25,1,0,0,1,0,25,400,1.0,37.0,1,0.65,bad
2,35,9.5,2,1,11,8,1.0,1,0,0,1,0,147,400,0.1,55.0,1,0.39,good
2,58,0.79,3,3,3,8,0.665,0,0,0,0,0,23,0,0.97,23.0,1,0.53,bad
2,76,11.5,2,1,13,4,2.125,1,1,11,1,0,77,284,0.78,31.0,2,0.14,good
2,199,16.5,3,3,2,8,4.0,1,0,0,0,0,159,0,0.32,80.0,2,0.97,bad
2,245,0.0,2,1,2,1,15.0,1,0,0,0,0,0,0,0.01,46.0,1,0.03,good
2,76,2.5,2,1,6,3,0.085,0,0,0,1,0,1,4208,0.89,68.0,2,0.36,bad
2,265,0.5,2,1,7,4,5.0,1,0,0,1,0,86,0,0.81,43.0,0,0.19,good
2,331,14.5,2,1,6,3,18.0,1,1,15,1,0,0,1000,0.12,78.0,2,0.88,good
2,113,4.25,2,1,3,8,4.29,1,1,1,1,0,8,0,0.81,64.0,2,0.31,good
1,123,1.5,2,1,10,8,2.0,1,0,0,0,2,97,0,0.22,63.0,2,1.0,bad
1,49,10.335,2,1,3,4,0.335,1,1,1,1,0,159,50,0.12,8.0,1,0.81,good
2,31,0.0,2,1,11,8,0.665,0,0,0,0,0,23,1,0.41,41.0,0,0.1,bad
1,48,3.0,2,1,11,8,0.165,1,1,3,0,0,1,6,0.86,33.0,0,0.32,good
2,242,0.835,2,1,6,3,0.0,1,0,0,0,0,12,1,0.88,60.0,2,0.38,bad
2,288,26.335,3,3,6,3,0.0,1,0,0,1,0,0,0,0.85,96.0,2,0.13,bad
2,65,12.125,2,1,2,8,3.335,0,1,2,1,0,34,173,0.58,33.0,2,0.94,bad
2,147,1.04,3,3,7,1,0.5,1,1,10,1,0,13,28,0.45,75.0,1,0.49,bad
1,59,11.5,3,3,8,5,0.0,1,1,11,1,0,0,0,0.75,86.0,2,0.59,good
2,288,8.5,2,1,2,4,12.5,1,1,9,0,0,35,1655,0.22,12.0,0,0.45,good
2,78,1.0,2,1,2,8,0.835,1,0,0,0,2,80,0,0.08,31.0,2,0.45,good
1,34,5.415,2,1,7,4,0.29,0,0,0,0,0,159,484,0.92,18.0,0,0.78,bad
2,63,7.835,3,3,7,1,0.165,0,0,0,1,0,170,0,0.93,55.0,2,0.69,bad
2,304,1.5,2,1,4,8,3.75,0,0,0,1,0,0,350,0.87,88.0,2,0.46,bad
2,61,0.25,2,1,4,4,0.665,1,0,0,1,0,0,0,0.31,68.0,0,0.02,good
2,299,15.0,2,1,2,8,8.5,1,1,9,0,0,0,0,0.25,51.0,0,0.43,good
1,278,3.0,2,1,14,8,13.875,1,1,2,1,0,139,1704,0.66,65.0,1,0.34,good
2,174,1.5,2,1,3,4,5.5,1,1,3,1,0,0,0,0.05,52.0,2,0.74,good
1,132,3.04,3,3,14,4,2.54,1,1,1,0,0,152,0,0.93,81.0,0,0.7,good
1,89,0.5,2,1,11,4,1.5,1,0,0,0,0,74,824,0.91,78.0,0,0.95,good
2,94,11.25,2,1,2,8,2.5,1,1,17,0,0,40,1208,0.71,63.0,0,0.68,good
2,330,1.54,2,1,11,8,0.125,1,0,0,1,0,67,0,0.94,61.0,1,0.62,good
1,69,11.0,3,3,11,8,3.0,1,0,0,1,0,69,0,0.33,52.0,0,0.57,bad
2,156,0.0,2,1,13,8,1.25,1,1,1,0,0,42,0,0.36,83.0,0,0.64,good
1,135,3.75,2,1,2,8,1.085,1,1,1,1,0,100,0,0.99,32.0,2,0.83,good
2,79,1.5,2,1,2,4,1.415,1,0,0,0,0,117,200,0.75,50.0,1,0.91,good
1,78,5.875,2,1,11,8,3.17,1,1,10,0,0,8,245,0.45,27.0,0,0.83,good
2,52,10.085,3,3,5,4,1.25,0,0,0,0,0,67,0,0.94,48.0,2,0.86,bad
1,226,1.665,2,1,1,8,0.25,0,0,0,0,0,0,390,0.66,31.0,1,0.72,bad
1,74,1.25,2,1,11,8,0.25,0,0,0,1,0,8,809,0.64,38.0,0,0.9,bad
1,178,1.625,2,1,4,8,0.54,0,0,0,1,0,0,0,0.67,86.0,2,0.85,bad
1,122,3.0,2,1,10,8,2.79,0,1,1,1,0,74,10,0.16,35.0,1,0.06,bad
2,9,2.75,2,1,1,8,0.665,0,1,1,0,0,159,21,0.35,67.0,1,0.7,bad
1,133,1.665,2,1,11,8,2.415,1,0,0,1,0,122,0,0.39,88.0,1,0.75,bad
2,18,4.46,2,1,2,8,0.25,0,0,0,0,2,159,0,0.48,71.0,2,0.01,bad
2,87,6.625,3,3,4,8,5.5,1,0,0,1,2,1,0,0.93,46.0,1,0.22,good
2,28,5.71,2,1,4,8,0.54,0,0,0,0,0,8,0,0.91,18.0,0,0.61,bad
2,90,13.5,3,3,6,3,0.0,0,0,0,0,0,170,0,0.5,16.0,2,0.07,bad
2,88,12.335,2,1,11,4,1.585,1,0,0,1,0,8,0,0.08,23.0,0,0.88,good
1,54,2.335,2,1,7,1,0.5,1,1,4,0,2,159,0,0.41,46.0,2,0.06,good
2,298,0.04,2,1,14,4,0.04,1,0,0,0,0,0,3000,0.35,62.0,1,0.1,good
2,65,0.585,3,3,6,3,0.0,0,0,0,0,0,1,0,0.91,43.0,0,0.42,bad
1,220,6.0,2,1,9,8,1.0,1,0,0,1,0,0,0,0.52,32.0,1,0.96,good
2,217,0.0,0,0,0,0,0.0,0,0,0,0,1,170,0,0.47,61.0,0,0.76,good
2,133,3.625,2,1,1,8,0.25,0,0,0,1,0,1,0,0.55,56.0,0,0.59,bad
2,279,0.29,2,1,2,1,15.0,1,1,20,0,0,0,15000,0.62,52.0,0,0.92,good
2,36,6.5,2,1,13,4,1.46,1,1,7,0,0,159,2954,0.57,61.0,1,0.82,good
2,244,1.335,2,1,4,8,0.165,0,0,0,0,0,27,0,0.53,81.0,2,0.42,bad
1,123,2.04,2,1,13,8,0.25,0,0,0,1,0,34,50,0.51,28.0,2,1.0,bad
2,62,0.54,3,3,14,8,0.04,1,1,1,1,0,160,59,0.56,61.0,2,0.13,good
1,32,9.25,3,3,2,8,1.0,1,1,4,1,0,159,500,0.71,78.0,0,0.9,good
2,206,5.0,2,1,2,1,2.5,1,1,6,0,0,0,367,0.92,99.0,1,0.79,good
2,171,2.5,2,1,2,8,1.25,0,0,0,1,0,74,0,0.63,65.0,1,0.81,bad
1,241,10.0,2,1,11,4,1.75,1,0,0,0,0,76,837,0.26,70.0,1,0.39,good
0,89,12.75,2,1,2,1,4.75,1,1,2,0,0,155,444,0.24,72.0,2,0.46,good
